id_epreuve,epreuve,epreuve_genre,epreuve_type,est_epreuve_individuelle,est_epreuve_olympique,est_epreuve_ete,est_epreuve_handi,epreuve_sens_resultat,id_discipline_administrative,discipline_administrative,id_specialite,specialite,id_sport
1,Course sur route - Hommes,Hommes,Individuel,1,1,1,0,0,23,Route,50,Course en ligne,37
2,Contre la montre - Hommes,Hommes,Individuel,1,1,1,0,0,23,Route,49,Course contre la montre,37
4,Par équipes Pursuit 8 Laps - Hommes,Hommes,Equipe,0,1,0,0,0,401,Patinage de vitesse sur glace grande piste,289,Longue piste,40
5,Simple - Hommes,Hommes,Individuel,1,1,1,0,0,130,Tennis,207,Tennis,68
8,1500m - Hommes,Hommes,Individuel,1,1,1,0,0,251,Athlétisme disciplines olympiques,9,Demi-fond,28
13,Relais 4 x 400m - Hommes,Hommes,Equipe,0,1,1,0,0,251,Athlétisme disciplines olympiques,16,Relais,28
15,50km Marche - Hommes,Hommes,Individuel,1,0,1,0,0,251,Athlétisme disciplines olympiques,15,Marche athlétique,28
18,Poids - Hommes,Hommes,Individuel,1,1,1,0,1,251,Athlétisme disciplines olympiques,13,Lancers,28
24,Combiné alpin - Hommes,Hommes,Individuel,1,1,0,0,0,107,Ski alpin,257,Ski alpin,34
25,Descente - Hommes,Hommes,Individuel,1,1,0,0,0,107,Ski alpin,257,Ski alpin,34
26,Super G - Hommes,Hommes,Individuel,1,1,0,0,0,107,Ski alpin,257,Ski alpin,34
27,49er - Hommes,Hommes,Double,0,1,1,0,0,144,Dériveur,231,Haute performance,1
28,ILCA 7 - Hommes,Hommes,Individuel,1,1,1,0,0,144,Dériveur,232,Solitaire,1
38,400m 4 nages (individuel) - Hommes,Hommes,Individuel,1,1,1,0,0,355,Natation course,150,Natation course bassin de 50m,65
39,3m Tremplin - Hommes,Hommes,Individuel,1,1,1,0,1,84,Plongeon,151,Plongeon,3
40,Double - Hommes,Hommes,Double,0,1,1,0,1,9,Badminton,92,Badminton,55
42,Poids mouche - Hommes (51kg) OG,Hommes,Individuel,1,0,1,0,0,360,Boxe anglaise,37,Boxe anglaise,60
48,+100kg - Hommes,Hommes,Individuel,1,1,1,0,0,68,Judo,112,Judo,61
49,73kg - Hommes,Hommes,Individuel,1,1,1,0,0,68,Judo,112,Judo,61
52,Par équipes - Hommes,Hommes,Equipe,0,1,1,0,0,131,Tennis de table,208,Tennis de table,19
67,69kg - Hommes,Hommes,Individuel,1,0,1,0,1,45,Haltérophilie,89,Total Olympique,29
68,94kg - Hommes,Hommes,Individuel,1,0,1,0,1,45,Haltérophilie,89,Total Olympique,29
73,Par équipes Sabre - Hommes,Hommes,Equipe,0,1,1,0,1,35,Sabre,68,Sabre,33
78,10m Carabine à air comprimé - Hommes,Hommes,Individuel,1,1,1,0,1,136,Carabine,210,10 mètres,66
87,58kg - Hommes - JO,Hommes,Individuel,1,1,1,0,0,129,Taekwondo,203,Combat,32
91,Single - Hommes,Hommes,Individuel,1,1,0,0,0,119,Luge,325,Luge,44
101,Relais 4 x 7.5km - Hommes,Hommes,Equipe,0,1,0,0,0,109,Biathlon,246,Biathlon,41
109,15km Style classique - Hommes,Hommes,Individuel,1,0,0,0,0,108,Ski de fond,258,Ski de fond,67
110,15km Style libre - Hommes,Hommes,Individuel,1,1,0,0,0,108,Ski de fond,258,Ski de fond,67
114,2 x 15km Skiathlon - Hommes,Hommes,Individuel,1,1,0,0,0,108,Ski de fond,258,Ski de fond,67
117,Saut acrobatique - Hommes,Hommes,Individuel,1,1,0,0,1,110,Ski freestyle,259,Ski freestyle,6
119,Bosses - Hommes,Hommes,Individuel,1,1,0,0,1,110,Ski freestyle,259,Ski freestyle,6
122,5000m Relais - Hommes,Hommes,Equipe,0,1,0,0,0,400,Patinage de vitesse sur glace courte piste,288,Short track,21
130,Poursuite Par équipes - Hommes,Hommes,Equipe,0,1,1,0,0,22,Piste,47,Endurance,13
138,1000m - Hommes,Hommes,Individuel,1,1,0,0,0,401,Patinage de vitesse sur glace grande piste,289,Longue piste,40
139,5000m - Hommes,Hommes,Individuel,1,1,0,0,0,401,Patinage de vitesse sur glace grande piste,289,Longue piste,40
140,Double - Hommes,Hommes,Double,0,1,1,0,0,130,Tennis,207,Tennis,68
144,200m - Hommes,Hommes,Individuel,1,1,1,0,0,251,Athlétisme disciplines olympiques,18,Sprint,28
146,3000m Steeplechase - Hommes,Hommes,Individuel,1,1,1,0,0,251,Athlétisme disciplines olympiques,9,Demi-fond,28
147,5000m - Hommes,Hommes,Individuel,1,1,1,0,0,251,Athlétisme disciplines olympiques,11,Fond,28
148,Decathlon - Hommes,Hommes,Individuel,1,1,1,0,1,251,Athlétisme disciplines olympiques,10,Epreuves combinées,28
149,Disque - Hommes,Hommes,Individuel,1,1,1,0,1,251,Athlétisme disciplines olympiques,13,Lancers,28
153,Javelot - Hommes,Hommes,Individuel,1,1,1,0,1,251,Athlétisme disciplines olympiques,13,Lancers,28
154,Marathon - Hommes,Hommes,Individuel,1,1,1,0,0,251,Athlétisme disciplines olympiques,14,Marathon,28
155,Perche - Hommes,Hommes,Individuel,1,1,1,0,1,251,Athlétisme disciplines olympiques,17,Sauts,28
156,Triple saut - Hommes,Hommes,Individuel,1,1,1,0,1,251,Athlétisme disciplines olympiques,17,Sauts,28
